 INFO  Accepting connections at http://localhost:5173
 HTTP  4/18/2026 1:50:13 PM ::1 GET /
 HTTP  4/18/2026 1:50:13 PM ::1 Returned 200 in 17 ms
 HTTP  4/18/2026 1:50:46 PM ::1 GET /question-banks
 HTTP  4/18/2026 1:50:46 PM ::1 Returned 200 in 2 ms
 HTTP  4/18/2026 1:50:46 PM ::1 GET /assets/index-CvfzUv-B.js
 HTTP  4/18/2026 1:50:46 PM ::1 GET /assets/index-51U2CpAx.css
 HTTP  4/18/2026 1:50:46 PM ::1 Returned 304 in 2 ms
 HTTP  4/18/2026 1:50:46 PM ::1 Returned 200 in 6 ms
 HTTP  4/18/2026 1:50:46 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:50:46 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:50:47 PM ::1 GET /question-banks
 HTTP  4/18/2026 1:50:47 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:50:47 PM ::1 GET /assets/index-51U2CpAx.css
 HTTP  4/18/2026 1:50:47 PM ::1 GET /assets/index-CvfzUv-B.js
 HTTP  4/18/2026 1:50:47 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:50:47 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:50:47 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:50:47 PM ::1 Returned 304 in 2 ms
 HTTP  4/18/2026 1:54:59 PM ::1 GET /
 HTTP  4/18/2026 1:54:59 PM ::1 Returned 200 in 8 ms
 HTTP  4/18/2026 1:54:59 PM ::1 GET /assets/index-CvfzUv-B.js
 HTTP  4/18/2026 1:54:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:54:59 PM ::1 GET /assets/index-51U2CpAx.css
 HTTP  4/18/2026 1:54:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:54:59 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:54:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:54:59 PM ::1 GET /
 HTTP  4/18/2026 1:54:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:54:59 PM ::1 GET /assets/index-51U2CpAx.css
 HTTP  4/18/2026 1:54:59 PM ::1 GET /assets/index-CvfzUv-B.js
 HTTP  4/18/2026 1:54:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:54:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:54:59 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:54:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:54:59 PM ::1 GET /
 HTTP  4/18/2026 1:54:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:54:59 PM ::1 GET /assets/index-CvfzUv-B.js
 HTTP  4/18/2026 1:54:59 PM ::1 GET /assets/index-51U2CpAx.css
 HTTP  4/18/2026 1:54:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:54:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:54:59 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:54:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:55:00 PM ::1 GET /
 HTTP  4/18/2026 1:55:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:55:00 PM ::1 GET /assets/index-CvfzUv-B.js
 HTTP  4/18/2026 1:55:00 PM ::1 GET /assets/index-51U2CpAx.css
 HTTP  4/18/2026 1:55:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:55:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:55:00 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:55:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:55:00 PM ::1 GET /
 HTTP  4/18/2026 1:55:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:55:00 PM ::1 GET /assets/index-51U2CpAx.css
 HTTP  4/18/2026 1:55:00 PM ::1 GET /assets/index-CvfzUv-B.js
 HTTP  4/18/2026 1:55:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:55:00 PM ::1 Returned 304 in 2 ms
 HTTP  4/18/2026 1:55:00 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:55:00 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:55:01 PM ::1 GET /
 HTTP  4/18/2026 1:55:01 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:55:01 PM ::1 GET /assets/index-51U2CpAx.css
 HTTP  4/18/2026 1:55:01 PM ::1 GET /assets/index-CvfzUv-B.js
 HTTP  4/18/2026 1:55:01 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:55:01 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:55:01 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:55:01 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:55:01 PM ::1 GET /
 HTTP  4/18/2026 1:55:01 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:55:01 PM ::1 GET /assets/index-51U2CpAx.css
 HTTP  4/18/2026 1:55:01 PM ::1 GET /assets/index-CvfzUv-B.js
 HTTP  4/18/2026 1:55:01 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:55:01 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:55:01 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:55:01 PM ::1 Returned 304 in 1 ms
