
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-04-15 11:06:38 /api/auth/login ............................ ~ 505.19ms
  2026-04-15 11:06:43 /api/question-banks ........................ ~ 505.28ms
  2026-04-15 11:06:52 /api/question-banks/1/questions .............. ~ 0.06ms
  2026-04-15 11:08:26 /api/auth/login .............................. ~ 4.63ms
  2026-04-15 11:08:26 /api/auth/login .............................. ~ 0.02ms
  2026-04-15 11:08:29 /api/auth/login .............................. ~ 0.09ms
  2026-04-15 11:08:29 /api/auth/login .............................. ~ 0.03ms
  2026-04-15 11:08:32 /api/auth/login .............................. ~ 0.06ms
  2026-04-15 11:08:32 /api/auth/login ............................ ~ 505.57ms
  2026-04-15 11:08:46 /api/auth/login .............................. ~ 0.46ms
  2026-04-15 11:08:46 /api/auth/login ............................ ~ 503.21ms
  2026-04-15 11:11:34 /api/auth/login .............................. ~ 2.25ms
  2026-04-15 11:11:34 /api/auth/login .............................. ~ 0.10ms
  2026-04-15 11:11:34 /api/auth/me ................................. ~ 0.39ms
  2026-04-15 11:11:34 /api/auth/me ................................. ~ 1.56ms
  2026-04-15 11:11:34 /api/auth/me ................................. ~ 0.07ms
  2026-04-15 11:11:34 /api/auth/me ................................. ~ 0.07ms
  2026-04-15 11:11:37 /api/question-banks .......................... ~ 0.09ms
  2026-04-15 11:11:37 /api/question-banks .......................... ~ 0.34ms
  2026-04-15 11:11:37 /api/question-banks ........................ ~ 505.79ms
  2026-04-15 11:11:37 /api/question-banks .......................... ~ 0.13ms
  2026-04-15 11:11:39 /api/question-banks/1 ...................... ~ 503.64ms
  2026-04-15 11:11:40 /api/question-banks/1/questions .............. ~ 0.14ms
  2026-04-15 11:11:40 /api/question-banks/1 ........................ ~ 0.78ms
  2026-04-15 11:11:40 /api/question-banks/1/questions .............. ~ 0.95ms
  2026-04-15 11:11:40 /api/question-banks/1 ........................ ~ 0.73ms
  2026-04-15 11:11:40 /api/question-banks/1/questions .............. ~ 0.72ms
  2026-04-15 11:11:40 /api/question-banks/1 ........................ ~ 0.52ms
  2026-04-15 11:11:40 /api/question-banks/1/questions .............. ~ 0.65ms
  2026-04-15 11:12:48 /api/question-banks .......................... ~ 0.34ms
  2026-04-15 11:12:48 /api/question-banks .......................... ~ 0.90ms
  2026-04-15 11:12:48 /api/question-banks .......................... ~ 0.05ms
  2026-04-15 11:12:48 /api/question-banks .......................... ~ 0.05ms
  2026-04-15 11:12:54 /api/question-banks/1 ........................ ~ 0.21ms
  2026-04-15 11:12:54 /api/question-banks/1/questions .............. ~ 0.63ms
