
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-04-16 08:40:17 /api/exams/1/reports/export.pdf ............ ~ 503.92ms
  2026-04-16 08:40:57 /api/auth/login ............................ ~ 506.11ms
  2026-04-16 08:41:00 /api/exams/1/reports/export.pdf .............. ~ 0.08ms
  2026-04-16 08:41:04 /api/exams/1/reports/export.pdf .............. ~ 0.07ms
  2026-04-16 08:41:29 /api/exams/1/reports/export.pdf .............. ~ 0.47ms
  2026-04-16 08:41:55 /api/exams/1/reports/export.pdf .............. ~ 4.69ms
  2026-04-16 08:42:01 /api/grading/pending-essays .................. ~ 0.12ms
  2026-04-16 08:42:01 /api/grading/pending-essays .................. ~ 0.28ms
  2026-04-16 08:42:01 /api/grading/pending-essays .................. ~ 0.02ms
  2026-04-16 08:42:01 /api/grading/pending-essays .................. ~ 0.02ms
  2026-04-16 08:42:03 /api/exams/1/reports/export.pdf .............. ~ 0.06ms
  2026-04-16 08:42:04 /api/exams ................................... ~ 0.22ms
  2026-04-16 08:42:04 /api/exams ................................... ~ 0.91ms
  2026-04-16 08:42:04 /api/exams ................................... ~ 0.29ms
  2026-04-16 08:42:04 /api/exams ................................... ~ 0.07ms
  2026-04-16 08:42:06 /api/exams/1/reports/export.pdf .............. ~ 0.08ms
  2026-04-16 08:42:06 /api/question-banks .......................... ~ 0.09ms
  2026-04-16 08:42:06 /api/question-banks .......................... ~ 0.31ms
  2026-04-16 08:42:06 /api/question-banks .......................... ~ 0.02ms
  2026-04-16 08:42:06 /api/question-banks .......................... ~ 0.02ms
  2026-04-16 08:42:08 /api/exams ................................... ~ 0.22ms
  2026-04-16 08:42:08 /api/exams ................................... ~ 0.83ms
  2026-04-16 08:42:08 /api/exams ................................... ~ 0.09ms
  2026-04-16 08:42:08 /api/exams ................................... ~ 0.06ms
  2026-04-16 08:42:09 /api/question-banks .......................... ~ 0.17ms
  2026-04-16 08:42:09 /api/question-banks .......................... ~ 0.57ms
  2026-04-16 08:42:09 /api/question-banks .......................... ~ 0.04ms
  2026-04-16 08:42:09 /api/question-banks .......................... ~ 0.04ms
  2026-04-16 08:42:10 /api/exams ................................... ~ 0.16ms
  2026-04-16 08:42:10 /api/exams ................................... ~ 0.65ms
  2026-04-16 08:42:10 /api/exams ................................... ~ 0.04ms
  2026-04-16 08:42:10 /api/exams ................................... ~ 0.04ms
  2026-04-16 08:42:16 /api/exams/1 ................................. ~ 0.09ms
  2026-04-16 08:42:16 /api/exams/1/questions ....................... ~ 0.35ms
  2026-04-16 08:42:16 /api/exams/1 ................................. ~ 0.21ms
  2026-04-16 08:42:16 /api/exams/1/questions ....................... ~ 0.26ms
  2026-04-16 08:42:16 /api/exams/1 ................................. ~ 0.20ms
  2026-04-16 08:42:16 /api/exams/1/questions ....................... ~ 0.24ms
  2026-04-16 08:42:16 /api/exams/1 ................................. ~ 0.02ms
  2026-04-16 08:42:16 /api/exams/1/questions ....................... ~ 0.02ms
  2026-04-16 08:42:34 /api/exams/1/reports/export.pdf ............ ~ 505.32ms
  2026-04-16 08:42:38 /api/exams/1/reports/export.xlsx ............. ~ 0.08ms
  2026-04-16 08:42:42 /api/exams/1/reports/export.pdf .............. ~ 0.07ms
  2026-04-16 08:42:45 /api/exams ................................... ~ 0.21ms
  2026-04-16 08:42:45 /api/exams ................................... ~ 0.84ms
  2026-04-16 08:42:45 /api/exams ................................... ~ 0.05ms
  2026-04-16 08:42:45 /api/exams ................................... ~ 0.05ms
  2026-04-16 08:42:47 /api/question-banks .......................... ~ 0.35ms
  2026-04-16 08:42:47 /api/question-banks .......................... ~ 0.95ms
  2026-04-16 08:42:47 /api/question-banks .......................... ~ 0.07ms
  2026-04-16 08:42:47 /api/question-banks .......................... ~ 0.06ms
  2026-04-16 08:42:57 /api/question-banks/1 ........................ ~ 0.06ms
  2026-04-16 08:42:57 /api/question-banks/1/questions .............. ~ 0.03ms
  2026-04-16 08:42:57 /api/question-banks/1 ........................ ~ 0.14ms
  2026-04-16 08:42:57 /api/question-banks/1/questions .............. ~ 0.18ms
  2026-04-16 08:42:57 /api/question-banks/1 ........................ ~ 0.13ms
  2026-04-16 08:42:57 /api/question-banks/1/questions .............. ~ 0.17ms
  2026-04-16 08:42:57 /api/question-banks/1 ........................ ~ 0.02ms
  2026-04-16 08:42:57 /api/question-banks/1/questions ............ ~ 505.61ms
  2026-04-16 08:43:21 /api/exams/1/analytics/summary ............... ~ 0.55ms
  2026-04-16 08:43:21 /api/exams/1/analytics/item-analysis ......... ~ 1.35ms
  2026-04-16 08:43:21 /api/exams/1/reports/ranking ................. ~ 1.85ms
  2026-04-16 08:43:21 /api/exams/1/analytics/summary ............... ~ 2.52ms
  2026-04-16 08:43:21 /api/exams/1/analytics/item-analysis ......... ~ 2.05ms
  2026-04-16 08:43:21 /api/exams/1/reports/ranking ................. ~ 0.49ms
  2026-04-16 08:43:21 /api/exams/1/analytics/summary ............... ~ 0.46ms
  2026-04-16 08:43:21 /api/exams/1/analytics/item-analysis ......... ~ 0.42ms
  2026-04-16 08:43:21 /api/exams/1/reports/ranking ................. ~ 0.34ms
  2026-04-16 08:43:21 /api/exams/1/analytics/summary ............... ~ 0.46ms
  2026-04-16 08:43:21 /api/exams/1/analytics/item-analysis ......... ~ 0.40ms
  2026-04-16 08:43:21 /api/exams/1/reports/ranking ................. ~ 0.28ms
  2026-04-16 08:43:24 /api/exams/1/analytics/summary ............... ~ 0.07ms
  2026-04-16 08:43:24 /api/exams/1/analytics/item-analysis ......... ~ 0.20ms
  2026-04-16 08:43:24 /api/exams/1/reports/ranking ................. ~ 0.27ms
  2026-04-16 08:43:24 /api/exams/1/analytics/summary ............... ~ 0.21ms
  2026-04-16 08:43:24 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
  2026-04-16 08:43:24 /api/exams/1/reports/ranking ................. ~ 0.09ms
  2026-04-16 08:43:24 /api/exams/1/analytics/summary ............... ~ 0.12ms
  2026-04-16 08:43:24 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
  2026-04-16 08:43:24 /api/exams/1/reports/ranking ................. ~ 0.10ms
  2026-04-16 08:43:24 /api/exams/1/analytics/summary ............... ~ 0.13ms
  2026-04-16 08:43:24 /api/exams/1/analytics/item-analysis ......... ~ 0.11ms
  2026-04-16 08:43:24 /api/exams/1/reports/ranking ............... ~ 502.72ms
  2026-04-16 08:43:24 /api/exams/1/analytics/summary ............... ~ 0.04ms
  2026-04-16 08:43:24 /api/exams/1/analytics/item-analysis ......... ~ 0.57ms
  2026-04-16 08:43:24 /api/exams/1/reports/ranking ................. ~ 0.60ms
  2026-04-16 08:43:24 /api/exams/1/analytics/summary ............... ~ 0.55ms
  2026-04-16 08:43:24 /api/exams/1/analytics/item-analysis ......... ~ 1.28ms
  2026-04-16 08:43:24 /api/exams/1/reports/ranking ................. ~ 0.72ms
  2026-04-16 08:43:24 /api/exams/1/analytics/summary ............... ~ 0.38ms
  2026-04-16 08:43:24 /api/exams/1/analytics/item-analysis ......... ~ 0.52ms
  2026-04-16 08:43:24 /api/exams/1/reports/ranking ................. ~ 0.42ms
  2026-04-16 08:43:24 /api/exams/1/analytics/summary ............... ~ 0.57ms
  2026-04-16 08:43:24 /api/exams/1/analytics/item-analysis ......... ~ 0.81ms
  2026-04-16 08:43:24 /api/exams/1/reports/ranking ................. ~ 0.53ms
  2026-04-16 08:43:24 /api/exams/1/analytics/summary ............... ~ 0.15ms
  2026-04-16 08:43:24 /api/exams/1/analytics/item-analysis ......... ~ 0.39ms
  2026-04-16 08:43:24 /api/exams/1/reports/ranking ................. ~ 0.44ms
  2026-04-16 08:43:24 /api/exams/1/analytics/summary ............... ~ 0.54ms
  2026-04-16 08:43:24 /api/exams/1/analytics/item-analysis ......... ~ 0.42ms
  2026-04-16 08:43:24 /api/exams/1/reports/ranking ................. ~ 0.13ms
  2026-04-16 08:43:24 /api/exams/1/analytics/summary ............... ~ 0.16ms
  2026-04-16 08:43:24 /api/exams/1/analytics/item-analysis ......... ~ 0.15ms
