 INFO  Accepting connections at http://localhost:5173
 HTTP  4/18/2026 11:33:48 AM ::1 GET /
 HTTP  4/18/2026 11:33:48 AM ::1 Returned 200 in 17 ms
 HTTP  4/18/2026 11:34:00 AM ::1 GET /question-banks
 HTTP  4/18/2026 11:34:00 AM ::1 Returned 200 in 2 ms
 HTTP  4/18/2026 11:34:00 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:34:00 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:34:00 AM ::1 Returned 304 in 3 ms
 HTTP  4/18/2026 11:34:00 AM ::1 Returned 200 in 8 ms
 HTTP  4/18/2026 11:34:00 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:34:00 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:34:01 AM ::1 GET /question-banks
 HTTP  4/18/2026 11:34:01 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:34:01 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:34:01 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:34:01 AM ::1 Returned 304 in 2 ms
 HTTP  4/18/2026 11:34:01 AM ::1 Returned 304 in 2 ms
 HTTP  4/18/2026 11:34:01 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:34:01 AM ::1 Returned 304 in 3 ms
 HTTP  4/18/2026 11:34:01 AM ::1 GET /question-banks
 HTTP  4/18/2026 11:34:01 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:34:01 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:34:01 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:34:01 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:34:01 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:34:01 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:34:01 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:34:02 AM ::1 GET /question-banks
 HTTP  4/18/2026 11:34:02 AM ::1 Returned 304 in 2 ms
 HTTP  4/18/2026 11:34:02 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:34:02 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:34:02 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:34:02 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:34:02 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:34:02 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:34:03 AM ::1 GET /question-banks
 HTTP  4/18/2026 11:34:03 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:34:03 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:34:03 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:34:03 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:34:03 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:34:03 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:34:03 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:34:20 AM ::1 GET /question-banks
 HTTP  4/18/2026 11:34:20 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:34:20 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:34:20 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:34:20 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:34:20 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:34:20 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:34:20 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:10 AM ::1 GET /question-banks/1
 HTTP  4/18/2026 11:40:10 AM ::1 Returned 200 in 7 ms
 HTTP  4/18/2026 11:40:10 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:40:10 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:10 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:40:10 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:10 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:40:10 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:10 AM ::1 GET /question-banks/1
 HTTP  4/18/2026 11:40:10 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:10 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:40:10 AM ::1 GET /assets/index-DLgjNNDl.css
