
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-04-16 08:59:23 /api/exams/1/reports/export.pdf .............. ~ 0.06ms
  2026-04-16 09:00:56 /api/exams/1/analytics/summary ............. ~ 505.05ms
  2026-04-16 09:00:56 /api/exams/1/analytics/item-analysis ....... ~ 505.32ms
  2026-04-16 09:00:56 /api/exams/1/reports/ranking ............... ~ 505.50ms
  2026-04-16 09:00:56 /api/exams/1/analytics/summary ............. ~ 505.93ms
  2026-04-16 09:00:56 /api/exams/1/analytics/item-analysis ......... ~ 1.04ms
  2026-04-16 09:00:56 /api/exams/1/reports/ranking ................. ~ 0.15ms
  2026-04-16 09:00:56 /api/exams/1/analytics/summary ............... ~ 0.14ms
  2026-04-16 09:00:56 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
  2026-04-16 09:00:56 /api/exams/1/reports/ranking ................. ~ 0.10ms
  2026-04-16 09:00:56 /api/exams/1/analytics/summary ............... ~ 0.15ms
  2026-04-16 09:00:56 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
  2026-04-16 09:00:56 /api/exams/1/reports/ranking ................. ~ 0.09ms
  2026-04-16 09:00:57 /api/exams/1/analytics/summary ............... ~ 0.02ms
  2026-04-16 09:00:57 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
  2026-04-16 09:00:57 /api/exams/1/reports/ranking ................. ~ 0.09ms
  2026-04-16 09:00:57 /api/exams/1/analytics/summary ............... ~ 0.12ms
  2026-04-16 09:00:57 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
  2026-04-16 09:00:57 /api/exams/1/reports/ranking ................. ~ 0.09ms
  2026-04-16 09:00:57 /api/exams/1/analytics/summary ............... ~ 0.17ms
  2026-04-16 09:00:57 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
  2026-04-16 09:00:57 /api/exams/1/reports/ranking ................. ~ 0.10ms
  2026-04-16 09:00:57 /api/exams/1/analytics/summary ............... ~ 0.13ms
  2026-04-16 09:00:57 /api/exams/1/analytics/item-analysis ......... ~ 0.11ms
  2026-04-16 09:00:57 /api/exams/1/reports/ranking ................. ~ 0.09ms
  2026-04-16 09:00:57 /api/exams/1/analytics/summary ............. ~ 506.89ms
  2026-04-16 09:00:57 /api/exams/1/analytics/item-analysis ....... ~ 508.20ms
  2026-04-16 09:00:57 /api/exams/1/reports/ranking ............... ~ 508.65ms
  2026-04-16 09:00:57 /api/exams/1/analytics/summary ............. ~ 509.26ms
  2026-04-16 09:00:57 /api/exams/1/analytics/item-analysis ......... ~ 1.80ms
  2026-04-16 09:00:57 /api/exams/1/reports/ranking ................. ~ 0.55ms
  2026-04-16 09:00:57 /api/exams/1/analytics/summary ............... ~ 0.45ms
  2026-04-16 09:00:57 /api/exams/1/analytics/item-analysis ......... ~ 0.42ms
  2026-04-16 09:00:57 /api/exams/1/reports/ranking ................. ~ 0.34ms
  2026-04-16 09:00:57 /api/exams/1/analytics/summary ............... ~ 0.49ms
  2026-04-16 09:00:57 /api/exams/1/analytics/item-analysis ......... ~ 0.66ms
  2026-04-16 09:00:57 /api/exams/1/reports/ranking ................. ~ 0.45ms
  2026-04-16 09:00:59 /api/exams/1/reports/export.pdf .............. ~ 0.20ms
  2026-04-16 09:02:54 /api/exams/1/analytics/summary ............... ~ 4.65ms
  2026-04-16 09:02:54 /api/exams/1/analytics/item-analysis ......... ~ 4.85ms
  2026-04-16 09:02:54 /api/exams/1/reports/ranking ................. ~ 0.15ms
  2026-04-16 09:02:54 /api/exams/1/analytics/summary ............... ~ 0.19ms
  2026-04-16 09:02:54 /api/exams/1/analytics/item-analysis ......... ~ 0.18ms
  2026-04-16 09:02:54 /api/exams/1/reports/ranking ................. ~ 0.14ms
  2026-04-16 09:02:54 /api/exams/1/analytics/summary ............... ~ 0.19ms
  2026-04-16 09:02:54 /api/exams/1/analytics/item-analysis ......... ~ 0.17ms
  2026-04-16 09:02:54 /api/exams/1/reports/ranking ................. ~ 0.14ms
  2026-04-16 09:02:54 /api/exams/1/analytics/summary ............... ~ 0.19ms
  2026-04-16 09:02:54 /api/exams/1/analytics/item-analysis ......... ~ 0.17ms
  2026-04-16 09:02:54 /api/exams/1/reports/ranking ................. ~ 0.13ms
  2026-04-16 09:02:54 /api/exams/1/analytics/summary ............... ~ 0.07ms
  2026-04-16 09:02:54 /api/exams/1/analytics/item-analysis ......... ~ 0.20ms
  2026-04-16 09:02:54 /api/exams/1/reports/ranking ................. ~ 0.29ms
  2026-04-16 09:02:54 /api/exams/1/analytics/summary ............... ~ 0.23ms
  2026-04-16 09:02:54 /api/exams/1/analytics/item-analysis ......... ~ 0.11ms
  2026-04-16 09:02:54 /api/exams/1/reports/ranking ................. ~ 0.09ms
  2026-04-16 09:02:54 /api/exams/1/analytics/summary ............... ~ 0.14ms
  2026-04-16 09:02:54 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
  2026-04-16 09:02:54 /api/exams/1/reports/ranking ................. ~ 0.10ms
  2026-04-16 09:02:54 /api/exams/1/analytics/summary ............... ~ 0.13ms
  2026-04-16 09:02:54 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
  2026-04-16 09:02:55 /api/exams/1/reports/ranking ................. ~ 0.08ms
  2026-04-16 09:02:55 /api/exams/1/analytics/summary ............... ~ 0.02ms
  2026-04-16 09:02:55 /api/exams/1/analytics/item-analysis ......... ~ 0.11ms
  2026-04-16 09:02:55 /api/exams/1/reports/ranking ................. ~ 0.09ms
  2026-04-16 09:02:55 /api/exams/1/analytics/summary ............... ~ 0.12ms
  2026-04-16 09:02:55 /api/exams/1/analytics/item-analysis ......... ~ 0.11ms
  2026-04-16 09:02:55 /api/exams/1/reports/ranking ................. ~ 0.09ms
  2026-04-16 09:02:55 /api/exams/1/analytics/summary ............... ~ 0.12ms
  2026-04-16 09:02:55 /api/exams/1/analytics/item-analysis ......... ~ 0.11ms
  2026-04-16 09:02:55 /api/exams/1/reports/ranking ................. ~ 0.09ms
  2026-04-16 09:02:55 /api/exams/1/analytics/summary ............... ~ 0.12ms
  2026-04-16 09:02:55 /api/exams/1/analytics/item-analysis ......... ~ 0.11ms
  2026-04-16 09:02:55 /api/exams/1/reports/ranking ................. ~ 0.08ms
  2026-04-16 09:02:55 /api/exams/1/analytics/summary ............... ~ 0.10ms
  2026-04-16 09:02:55 /api/exams/1/analytics/item-analysis ......... ~ 0.39ms
  2026-04-16 09:02:55 /api/exams/1/reports/ranking ................. ~ 0.20ms
  2026-04-16 09:02:55 /api/exams/1/analytics/summary ............... ~ 0.22ms
  2026-04-16 09:02:55 /api/exams/1/analytics/item-analysis ......... ~ 0.20ms
  2026-04-16 09:02:55 /api/exams/1/reports/ranking ................. ~ 0.16ms
  2026-04-16 09:02:55 /api/exams/1/analytics/summary ............... ~ 0.21ms
  2026-04-16 09:02:55 /api/exams/1/analytics/item-analysis ......... ~ 0.19ms
  2026-04-16 09:02:55 /api/exams/1/reports/ranking ................. ~ 0.15ms
  2026-04-16 09:02:55 /api/exams/1/analytics/summary ............... ~ 0.21ms
  2026-04-16 09:02:55 /api/exams/1/analytics/item-analysis ......... ~ 0.19ms
  2026-04-16 09:02:55 /api/exams/1/reports/ranking ................. ~ 0.14ms
  2026-04-16 09:02:55 /api/exams/1/analytics/summary ............... ~ 0.03ms
  2026-04-16 09:02:55 /api/exams/1/analytics/item-analysis ......... ~ 0.19ms
  2026-04-16 09:02:55 /api/exams/1/reports/ranking ................. ~ 0.15ms
  2026-04-16 09:02:55 /api/exams/1/analytics/summary ............... ~ 0.21ms
  2026-04-16 09:02:55 /api/exams/1/analytics/item-analysis ......... ~ 0.19ms
  2026-04-16 09:02:55 /api/exams/1/reports/ranking ................. ~ 0.13ms
  2026-04-16 09:02:55 /api/exams/1/analytics/summary ............... ~ 0.18ms
  2026-04-16 09:02:55 /api/exams/1/analytics/item-analysis ......... ~ 0.17ms
  2026-04-16 09:02:55 /api/exams/1/reports/ranking ................. ~ 0.13ms
  2026-04-16 09:02:55 /api/exams/1/analytics/summary ............... ~ 0.18ms
  2026-04-16 09:02:55 /api/exams/1/analytics/item-analysis ......... ~ 0.17ms
  2026-04-16 09:02:55 /api/exams/1/reports/ranking ................. ~ 0.13ms
  2026-04-16 09:02:55 /api/exams/1/analytics/summary ............... ~ 0.40ms
  2026-04-16 09:02:55 /api/exams/1/analytics/item-analysis ......... ~ 0.14ms
  2026-04-16 09:02:55 /api/exams/1/reports/ranking ................. ~ 0.63ms
  2026-04-16 09:02:55 /api/exams/1/analytics/summary ............... ~ 0.94ms
  2026-04-16 09:02:55 /api/exams/1/analytics/item-analysis ......... ~ 0.83ms
  2026-04-16 09:02:55 /api/exams/1/reports/ranking ................. ~ 0.60ms
