 INFO  Accepting connections at http://localhost:5173
 HTTP  4/18/2026 1:08:52 PM ::1 GET /
 HTTP  4/18/2026 1:08:52 PM ::1 Returned 200 in 18 ms
 HTTP  4/18/2026 1:14:52 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:14:52 PM ::1 Returned 200 in 5 ms
 HTTP  4/18/2026 1:14:52 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:14:52 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:14:52 PM ::1 Returned 200 in 3 ms
 HTTP  4/18/2026 1:14:52 PM ::1 Returned 200 in 11 ms
 HTTP  4/18/2026 1:14:52 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:14:52 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:14:53 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:14:53 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:14:53 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:14:53 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:14:53 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:14:53 PM ::1 Returned 304 in 2 ms
 HTTP  4/18/2026 1:14:53 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:14:53 PM ::1 Returned 304 in 2 ms
 HTTP  4/18/2026 1:15:05 PM ::1 GET /
 HTTP  4/18/2026 1:15:05 PM ::1 Returned 200 in 6 ms
 HTTP  4/18/2026 1:15:05 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:15:05 PM ::1 Returned 304 in 2 ms
 HTTP  4/18/2026 1:15:05 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:15:05 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:15:05 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:15:05 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:15:42 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:15:42 PM ::1 Returned 304 in 2 ms
 HTTP  4/18/2026 1:15:42 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  4/18/2026 1:15:42 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:15:52 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:15:52 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:15:52 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:15:52 PM ::1 Returned 200 in 2 ms
 HTTP  4/18/2026 1:15:52 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:15:52 PM ::1 Returned 200 in 2 ms
 HTTP  4/18/2026 1:15:52 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  4/18/2026 1:15:52 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:15:52 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:15:52 PM ::1 Returned 200 in 3 ms
 HTTP  4/18/2026 1:18:42 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:18:42 PM ::1 Returned 200 in 7 ms
 HTTP  4/18/2026 1:18:42 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:18:42 PM ::1 Returned 200 in 2 ms
 HTTP  4/18/2026 1:18:42 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:18:42 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:18:42 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  4/18/2026 1:18:42 PM ::1 Returned 200 in 0 ms
 HTTP  4/18/2026 1:18:42 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:18:42 PM ::1 Returned 200 in 0 ms
 HTTP  4/18/2026 1:18:43 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:18:43 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:18:43 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:18:43 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:18:43 PM ::1 Returned 200 in 3 ms
 HTTP  4/18/2026 1:18:43 PM ::1 Returned 200 in 3 ms
 HTTP  4/18/2026 1:18:43 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  4/18/2026 1:18:43 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:18:43 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:18:43 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:20:02 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:20:02 PM ::1 Returned 304 in 5 ms
 HTTP  4/18/2026 1:20:02 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:20:02 PM ::1 Returned 304 in 2 ms
 HTTP  4/18/2026 1:20:02 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:20:02 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:20:02 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:20:02 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:20:03 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:20:03 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:20:03 PM ::1 GET /assets/index-DHBK4iuc.js
